cause_event_type,effect_event_type,count
Catastrophe,Damaging,1925
Catastrophe,Destroying,850
Catastrophe,Death,822
Catastrophe,Killing,626
Catastrophe,Motion,615
Catastrophe,Catastrophe,553
Catastrophe,Influence,538
Attack,Killing,428
Coming_to_be,Cause_change_of_strength,423
Catastrophe,Bodily_harm,369
Attack,Bodily_harm,351
Coming_to_be,Motion,319
Catastrophe,Creating,251
Hostile_encounter,Killing,249
Catastrophe,Reporting,208
Hostile_encounter,Conquering,198
Catastrophe,Earnings_and_losses,196
Coming_to_be,Arriving,196
Coming_to_be,Damaging,189
Attack,Statement,188
Catastrophe,Attack,186
Catastrophe,Statement,184
Hostile_encounter,Earnings_and_losses,183
Attack,Destroying,174
Hostile_encounter,Death,174
Competition,Competition,171
Attack,Death,164
Hostile_encounter,Bodily_harm,161
Catastrophe,Arriving,157
Competition,Getting,153
Catastrophe,Departing,145
Attack,Conquering,144
Catastrophe,Cause_change_of_position_on_a_scale,144
Coming_to_be,Becoming,144
Coming_to_be,Motion_directional,143
Catastrophe,Coming_to_be,140
Coming_to_be,Catastrophe,140
Catastrophe,Bringing,129
Attack,Damaging,128
Coming_to_be,Self_motion,128
Hostile_encounter,Destroying,124
Catastrophe,Cause_change_of_strength,122
Killing,Killing,120
Hostile_encounter,Process_end,114
Catastrophe,Self_motion,111
Catastrophe,Expressing_publicly,110
Traveling,Supporting,109
Terrorism,Bodily_harm,108
Coming_to_be,Cause_change_of_position_on_a_scale,104
Terrorism,Killing,104
Attack,Judgment_communication,102
Competition,Earnings_and_losses,98
Catastrophe,Removing,95
Catastrophe,Criminal_investigation,92
Catastrophe,Manufacturing,91
Traveling,Earnings_and_losses,91
Coming_to_be,Killing,90
Hostile_encounter,Hostile_encounter,88
Coming_to_be,Dispersal,87
Competition,Conquering,87
Attack,Process_end,86
Catastrophe,Recording,86
Attack,Motion,83
Process_start,Process_end,82
Coming_to_be,Destroying,82
Attack,Attack,82
Catastrophe,Motion_directional,79
Coming_to_be,Death,79
Coming_to_be,Change,78
Catastrophe,Presence,78
Catastrophe,Know,77
Coming_to_be,Coming_to_be,77
Hostile_encounter,Escaping,75
Motion,Motion,74
Catastrophe,Change,74
Catastrophe,Escaping,73
Coming_to_be,Bodily_harm,72
Attack,Earnings_and_losses,72
Catastrophe,Giving,72
Catastrophe,Check,72
Military_operation,Destroying,72
Hostile_encounter,Statement,71
Attack,Escaping,70
Hostile_encounter,Control,65
Catastrophe,Placing,64
Traveling,Recording,64
Hostile_encounter,Becoming,63
Arranging,Competition,63
Use_firearm,Death,62
Use_firearm,Bodily_harm,61
Process_start,Conquering,61
Catastrophe,Assistance,61
Social_event,Recording,61
Traveling,Publishing,61
Traveling,Judgment_communication,61
Use_firearm,Killing,60
Catastrophe,Becoming,60
Coming_to_be,Getting,59
Motion,Damaging,58
Hostile_encounter,Attack,58
Motion,Catastrophe,58
Killing,Death,58
Death,Criminal_investigation,58
Motion,Killing,57
Attack,Hostile_encounter,57
Coming_to_be,Attack,57
Attack,Arrest,56
Use_firearm,Statement,56
Catastrophe,Scrutiny,55
Catastrophe,Coming_to_believe,55
Coming_to_be,Influence,54
Competition,Process_end,54
Attack,Expressing_publicly,53
Coming_to_be,Creating,53
Attack,Cause_change_of_position_on_a_scale,53
Bodily_harm,Death,52
Social_event,Competition,52
Catastrophe,Hindering,52
Catastrophe,Rescuing,52
Hostile_encounter,Cause_change_of_position_on_a_scale,52
Violence,Bodily_harm,50
Competition,Becoming_a_member,50
Hostile_encounter,Surrendering,50
Social_event,Hold,50
Terrorism,Statement,50
Attack,Legal_rulings,49
Motion,Destroying,49
Catastrophe,Cause_to_make_progress,49
Catastrophe,Perception_active,49
Competition,Social_event,49
Hostile_encounter,Damaging,48
Hold,Competition,48
Attack,Request,47
Catastrophe,Change_event_time,47
Hostile_encounter,Recording,47
Military_operation,Killing,46
Competition,Giving,46
Social_event,Motion,45
Social_event,Receiving,45
Conquering,Conquering,45
Use_firearm,Judgment_communication,45
Coming_to_be,Statement,45
Catastrophe,Sending,45
Competition,Hold,44
Catastrophe,Emptying,44
Attack,Reporting,44
Kidnapping,Killing,44
Process_start,Killing,44
Motion,Arriving,43
Catastrophe,Judgment_communication,43
Attack,Defending,43
Attack,Preventing_or_letting,43
Coming_to_be,Achieve,42
Hostile_encounter,Quarreling,42
Motion,Death,41
Attack,Arriving,41
Hostile_encounter,Motion,41
Hostile_encounter,Communication,41
Hostile_encounter,Getting,41
Attack,Check,41
Motion,Bodily_harm,41
Presence,Killing,41
Motion,Attack,41
Terrorism,Death,40
Attack,Catastrophe,39
Social_event,Statement,39
Military_operation,Conquering,39
Arranging,Social_event,39
Killing,Criminal_investigation,39
Attack,Getting,39
Self_motion,Killing,38
Social_event,Cause_change_of_position_on_a_scale,38
Catastrophe,Convincing,38
Catastrophe,Building,38
Catastrophe,Publishing,38
Hostile_encounter,Name_conferral,37
Hostile_encounter,Preventing_or_letting,37
Social_event,Creating,37
Coming_to_be,Cause_to_make_progress,37
Social_event,Publishing,36
Social_event,Judgment_communication,36
Conquering,Killing,36
Self_motion,Attack,36
Coming_to_be,Removing,36
Killing,Bodily_harm,36
Creating,Social_event,36
Coming_to_be,Manufacturing,36
Catastrophe,Openness,36
Traveling,Commerce_sell,36
Attack,Self_motion,35
Violence,Killing,35
Attack,Know,35
Catastrophe,Dispersal,35
Process_start,Competition,35
Conquering,Getting,35
Process_start,Process_start,35
Catastrophe,Supply,35
Hostile_encounter,Agree_or_refuse_to_act,35
Catastrophe,GiveUp,35
Killing,Judgment_communication,34
Attack,Removing,34
Coming_to_be,Presence,34
Presence,Bodily_harm,34
Catastrophe,Name_conferral,34
Killing,Statement,34
Traveling,Statement,34
Violence,Statement,34
Cause_change_of_strength,Cause_change_of_strength,34
Traveling,Social_event,34
Motion,Escaping,33
Process_start,Becoming,33
Process_start,Earnings_and_losses,33
Attack,Recovering,33
Social_event,Influence,33
Attack,Influence,33
Process_start,Destroying,33
Arriving,Bodily_harm,33
Violence,Death,33
Competition,Change,33
Self_motion,Destroying,32
Arriving,Attack,32
Process_start,Motion,32
Self_motion,Self_motion,32
Self_motion,Motion,32
Military_operation,Process_end,32
Catastrophe,Action,32
Motion,Conquering,31
Attack,Hindering,31
Killing,Legal_rulings,31
Change_of_leadership,Process_end,31
Military_operation,Earnings_and_losses,31
Catastrophe,Process_end,31
Catastrophe,Hold,31
Conquering,Process_end,31
Motion,Cause_change_of_strength,31
Social_event,Expressing_publicly,30
Social_event,Supporting,30
Cause_change_of_strength,Catastrophe,30
Catastrophe,Research,30
Attack,Motion_directional,30
Military_operation,Agree_or_refuse_to_act,30
Use_firearm,Destroying,30
Catastrophe,Recovering,30
Attack,Action,30
Attack,Surrendering,30
Traveling,Competition,30
Hostile_encounter,Departing,30
Violence,Judgment_communication,29
Coming_to_be,Earnings_and_losses,29
Hostile_encounter,Cause_change_of_strength,29
Conquering,Escaping,29
Competition,Becoming,29
Attack,Giving,29
Attack,Creating,29
Attack,Hold,29
Social_event,Expansion,29
Hostile_encounter,Arriving,29
Conquering,Attack,29
Catastrophe,Warning,29
Competition,Name_conferral,29
Death,Placing,28
Cause_change_of_strength,Dispersal,28
Self_motion,Death,28
Attack,Control,28
Catastrophe,Writing,28
Coming_to_be,Reporting,28
Self_motion,Arriving,28
Competition,Preserving,28
Traveling,Hold,28
Process_start,Hold,27
Arranging,Attack,27
Hostile_encounter,Catastrophe,27
Hostile_encounter,Creating,27
Attack,Protest,27
Destroying,Killing,27
Arriving,Escaping,27
Social_event,Process_end,27
Death,Statement,27
Cause_change_of_strength,Motion,27
Change_of_leadership,Conquering,27
Hostile_encounter,Giving,27
Cause_change_of_strength,Cause_change_of_position_on_a_scale,27
Control,Attack,26
Catastrophe,Getting,26
Motion,Process_end,26
Coming_to_be,Process_end,26
Process_start,Attack,26
Motion,Cause_change_of_position_on_a_scale,26
Coming_to_be,Expressing_publicly,26
Killing,Arrest,26
Hostile_encounter,Presence,26
Attack,Cause_change_of_strength,26
Motion_directional,Death,26
Arriving,Killing,26
Attack,Hiding_objects,26
Military_operation,Releasing,26
Catastrophe,Deciding,26
Competition,Recording,26
Coming_to_be,Bringing,26
Hostile_encounter,Removing,26
Traveling,Receiving,26
Catastrophe,Connect,26
Coming_to_be,Know,25
Self_motion,Conquering,25
Competition,Presence,25
Military_operation,Death,25
Catastrophe,Request,25
Cause_change_of_strength,Arriving,25
Action,Killing,25
Military_operation,Attack,25
Arranging,Killing,25
Motion,Statement,25
Attack,Change,25
Hostile_encounter,Change,24
Process_start,Statement,24
Coming_to_be,Process_start,24
Arriving,Conquering,24
Attack,Response,24
Attack,Use_firearm,24
Killing,Destroying,24
Attack,Writing,24
Hostile_encounter,Judgment_communication,24
Terrorism,Check,24
Competition,Achieve,24
Attack,Bringing,23
Cause_change_of_position_on_a_scale,Catastrophe,23
Military_operation,Removing,23
Process_start,Death,23
Attack,Agree_or_refuse_to_act,23
Killing,Know,23
Cause_change_of_strength,Becoming,23
Hold,Process_end,23
Attack,Change_sentiment,23
Attack,Change_of_leadership,23
Catastrophe,Cause_to_amalgamate,23
Process_start,Getting,23
Process_start,Hostile_encounter,23
