cause_event_type,effect_event_type,count,pct_all_causal_relations,pct_of_cause_type
Catastrophe,Damaging,1925,3.6077,17.3517
Catastrophe,Destroying,850,1.5930,7.6618
Catastrophe,Death,822,1.5405,7.4094
Catastrophe,Killing,626,1.1732,5.6427
Catastrophe,Motion,615,1.1526,5.5435
Catastrophe,Catastrophe,553,1.0364,4.9847
Catastrophe,Influence,538,1.0083,4.8495
Attack,Killing,428,0.8021,10.4441
Coming_to_be,Cause_change_of_strength,423,0.7928,11.8487
Catastrophe,Bodily_harm,369,0.6916,3.3261
Attack,Bodily_harm,351,0.6578,8.5652
Coming_to_be,Motion,319,0.5978,8.9356
Catastrophe,Creating,251,0.4704,2.2625
Hostile_encounter,Killing,249,0.4667,7.9578
Catastrophe,Reporting,208,0.3898,1.8749
Hostile_encounter,Conquering,198,0.3711,6.3279
Catastrophe,Earnings_and_losses,196,0.3673,1.7667
Coming_to_be,Arriving,196,0.3673,5.4902
Coming_to_be,Damaging,189,0.3542,5.2941
Attack,Statement,188,0.3523,4.5876
Catastrophe,Attack,186,0.3486,1.6766
Catastrophe,Statement,184,0.3448,1.6586
Hostile_encounter,Earnings_and_losses,183,0.3430,5.8485
Attack,Destroying,174,0.3261,4.2460
Hostile_encounter,Death,174,0.3261,5.5609
Competition,Competition,171,0.3205,11.4842
Attack,Death,164,0.3074,4.0020
Hostile_encounter,Bodily_harm,161,0.3017,5.1454
Catastrophe,Arriving,157,0.2942,1.4152
Competition,Getting,153,0.2867,10.2754
Catastrophe,Departing,145,0.2717,1.3070
Attack,Conquering,144,0.2699,3.5139
Catastrophe,Cause_change_of_position_on_a_scale,144,0.2699,1.2980
Coming_to_be,Becoming,144,0.2699,4.0336
Coming_to_be,Motion_directional,143,0.2680,4.0056
Catastrophe,Coming_to_be,140,0.2624,1.2619
Coming_to_be,Catastrophe,140,0.2624,3.9216
Catastrophe,Bringing,129,0.2418,1.1628
Attack,Damaging,128,0.2399,3.1235
Coming_to_be,Self_motion,128,0.2399,3.5854
Hostile_encounter,Destroying,124,0.2324,3.9629
Catastrophe,Cause_change_of_strength,122,0.2286,1.0997
Killing,Killing,120,0.2249,12.3077
Hostile_encounter,Process_end,114,0.2137,3.6433
Catastrophe,Self_motion,111,0.2080,1.0005
Catastrophe,Expressing_publicly,110,0.2062,0.9915
Traveling,Supporting,109,0.2043,10.1774
Terrorism,Bodily_harm,108,0.2024,18.9474
Coming_to_be,Cause_change_of_position_on_a_scale,104,0.1949,2.9132
Terrorism,Killing,104,0.1949,18.2456
Attack,Judgment_communication,102,0.1912,2.4890
Competition,Earnings_and_losses,98,0.1837,6.5816
Catastrophe,Removing,95,0.1780,0.8563
Catastrophe,Criminal_investigation,92,0.1724,0.8293
Catastrophe,Manufacturing,91,0.1705,0.8203
Traveling,Earnings_and_losses,91,0.1705,8.4967
Coming_to_be,Killing,90,0.1687,2.5210
Hostile_encounter,Hostile_encounter,88,0.1649,2.8124
Coming_to_be,Dispersal,87,0.1630,2.4370
Competition,Conquering,87,0.1630,5.8428
Attack,Process_end,86,0.1612,2.0986
Catastrophe,Recording,86,0.1612,0.7752
Attack,Motion,83,0.1556,2.0254
Process_start,Process_end,82,0.1537,6.2835
Coming_to_be,Destroying,82,0.1537,2.2969
Attack,Attack,82,0.1537,2.0010
Catastrophe,Motion_directional,79,0.1481,0.7121
Coming_to_be,Death,79,0.1481,2.2129
Coming_to_be,Change,78,0.1462,2.1849
Catastrophe,Presence,78,0.1462,0.7031
Catastrophe,Know,77,0.1443,0.6941
Coming_to_be,Coming_to_be,77,0.1443,2.1569
Hostile_encounter,Escaping,75,0.1406,2.3969
Motion,Motion,74,0.1387,5.7055
Catastrophe,Change,74,0.1387,0.6670
Catastrophe,Escaping,73,0.1368,0.6580
Coming_to_be,Bodily_harm,72,0.1349,2.0168
Attack,Earnings_and_losses,72,0.1349,1.7570
Catastrophe,Giving,72,0.1349,0.6490
Catastrophe,Check,72,0.1349,0.6490
Military_operation,Destroying,72,0.1349,8.0447
Hostile_encounter,Statement,71,0.1331,2.2691
Attack,Escaping,70,0.1312,1.7082
Hostile_encounter,Control,65,0.1218,2.0773
Catastrophe,Placing,64,0.1199,0.5769
Traveling,Recording,64,0.1199,5.9757
Hostile_encounter,Becoming,63,0.1181,2.0134
Arranging,Competition,63,0.1181,8.2569
Use_firearm,Death,62,0.1162,8.1579
Use_firearm,Bodily_harm,61,0.1143,8.0263
Process_start,Conquering,61,0.1143,4.6743
Catastrophe,Assistance,61,0.1143,0.5498
Social_event,Recording,61,0.1143,4.7768
Traveling,Publishing,61,0.1143,5.6956
Traveling,Judgment_communication,61,0.1143,5.6956
Use_firearm,Killing,60,0.1124,7.8947
Catastrophe,Becoming,60,0.1124,0.5408
Coming_to_be,Getting,59,0.1106,1.6527
Motion,Damaging,58,0.1087,4.4719
Hostile_encounter,Attack,58,0.1087,1.8536
Motion,Catastrophe,58,0.1087,4.4719
Killing,Death,58,0.1087,5.9487
Death,Criminal_investigation,58,0.1087,12.3404
Motion,Killing,57,0.1068,4.3948
Attack,Hostile_encounter,57,0.1068,1.3909
Coming_to_be,Attack,57,0.1068,1.5966
Attack,Arrest,56,0.1050,1.3665
Use_firearm,Statement,56,0.1050,7.3684
Catastrophe,Scrutiny,55,0.1031,0.4958
Catastrophe,Coming_to_believe,55,0.1031,0.4958
Coming_to_be,Influence,54,0.1012,1.5126
Competition,Process_end,54,0.1012,3.6266
Attack,Expressing_publicly,53,0.0993,1.2933
Coming_to_be,Creating,53,0.0993,1.4846
Attack,Cause_change_of_position_on_a_scale,53,0.0993,1.2933
Bodily_harm,Death,52,0.0975,16.2500
Social_event,Competition,52,0.0975,4.0720
Catastrophe,Hindering,52,0.0975,0.4687
Catastrophe,Rescuing,52,0.0975,0.4687
Hostile_encounter,Cause_change_of_position_on_a_scale,52,0.0975,1.6619
Violence,Bodily_harm,50,0.0937,11.4943
Competition,Becoming_a_member,50,0.0937,3.3580
Hostile_encounter,Surrendering,50,0.0937,1.5980
Social_event,Hold,50,0.0937,3.9154
Terrorism,Statement,50,0.0937,8.7719
Attack,Legal_rulings,49,0.0918,1.1957
Motion,Destroying,49,0.0918,3.7779
Catastrophe,Cause_to_make_progress,49,0.0918,0.4417
Catastrophe,Perception_active,49,0.0918,0.4417
Competition,Social_event,49,0.0918,3.2908
Hostile_encounter,Damaging,48,0.0900,1.5340
Hold,Competition,48,0.0900,7.8303
Attack,Request,47,0.0881,1.1469
Catastrophe,Change_event_time,47,0.0881,0.4237
Hostile_encounter,Recording,47,0.0881,1.5021
Military_operation,Killing,46,0.0862,5.1397
Competition,Giving,46,0.0862,3.0893
Social_event,Motion,45,0.0843,3.5239
Social_event,Receiving,45,0.0843,3.5239
Conquering,Conquering,45,0.0843,5.8670
Use_firearm,Judgment_communication,45,0.0843,5.9211
Coming_to_be,Statement,45,0.0843,1.2605
Catastrophe,Sending,45,0.0843,0.4056
Competition,Hold,44,0.0825,2.9550
Catastrophe,Emptying,44,0.0825,0.3966
Attack,Reporting,44,0.0825,1.0737
Kidnapping,Killing,44,0.0825,23.7838
Process_start,Killing,44,0.0825,3.3716
Motion,Arriving,43,0.0806,3.3153
Catastrophe,Judgment_communication,43,0.0806,0.3876
Attack,Defending,43,0.0806,1.0493
Attack,Preventing_or_letting,43,0.0806,1.0493
Coming_to_be,Achieve,42,0.0787,1.1765
Hostile_encounter,Quarreling,42,0.0787,1.3423
Motion,Death,41,0.0768,3.1611
Attack,Arriving,41,0.0768,1.0005
Hostile_encounter,Motion,41,0.0768,1.3103
Hostile_encounter,Communication,41,0.0768,1.3103
Hostile_encounter,Getting,41,0.0768,1.3103
Attack,Check,41,0.0768,1.0005
Motion,Bodily_harm,41,0.0768,3.1611
Presence,Killing,41,0.0768,7.2310
Motion,Attack,41,0.0768,3.1611
Terrorism,Death,40,0.0750,7.0175
Attack,Catastrophe,39,0.0731,0.9517
Social_event,Statement,39,0.0731,3.0540
Military_operation,Conquering,39,0.0731,4.3575
Arranging,Social_event,39,0.0731,5.1114
Killing,Criminal_investigation,39,0.0731,4.0000
Attack,Getting,39,0.0731,0.9517
Self_motion,Killing,38,0.0712,5.0465
Social_event,Cause_change_of_position_on_a_scale,38,0.0712,2.9757
Catastrophe,Convincing,38,0.0712,0.3425
Catastrophe,Building,38,0.0712,0.3425
Catastrophe,Publishing,38,0.0712,0.3425
Hostile_encounter,Name_conferral,37,0.0693,1.1825
Hostile_encounter,Preventing_or_letting,37,0.0693,1.1825
Social_event,Creating,37,0.0693,2.8974
Coming_to_be,Cause_to_make_progress,37,0.0693,1.0364
Social_event,Publishing,36,0.0675,2.8191
Social_event,Judgment_communication,36,0.0675,2.8191
Conquering,Killing,36,0.0675,4.6936
Self_motion,Attack,36,0.0675,4.7809
Coming_to_be,Removing,36,0.0675,1.0084
Killing,Bodily_harm,36,0.0675,3.6923
Creating,Social_event,36,0.0675,6.1750
Coming_to_be,Manufacturing,36,0.0675,1.0084
Catastrophe,Openness,36,0.0675,0.3245
Traveling,Commerce_sell,36,0.0675,3.3613
Attack,Self_motion,35,0.0656,0.8541
Violence,Killing,35,0.0656,8.0460
Attack,Know,35,0.0656,0.8541
Catastrophe,Dispersal,35,0.0656,0.3155
Process_start,Competition,35,0.0656,2.6820
Conquering,Getting,35,0.0656,4.5632
Process_start,Process_start,35,0.0656,2.6820
Catastrophe,Supply,35,0.0656,0.3155
Hostile_encounter,Agree_or_refuse_to_act,35,0.0656,1.1186
Catastrophe,GiveUp,35,0.0656,0.3155
Killing,Judgment_communication,34,0.0637,3.4872
Attack,Removing,34,0.0637,0.8297
Coming_to_be,Presence,34,0.0637,0.9524
Presence,Bodily_harm,34,0.0637,5.9965
Catastrophe,Name_conferral,34,0.0637,0.3065
Killing,Statement,34,0.0637,3.4872
Traveling,Statement,34,0.0637,3.1746
Violence,Statement,34,0.0637,7.8161
Cause_change_of_strength,Cause_change_of_strength,34,0.0637,8.6076
Traveling,Social_event,34,0.0637,3.1746
Motion,Escaping,33,0.0618,2.5443
Process_start,Becoming,33,0.0618,2.5287
Process_start,Earnings_and_losses,33,0.0618,2.5287
Attack,Recovering,33,0.0618,0.8053
Social_event,Influence,33,0.0618,2.5842
Attack,Influence,33,0.0618,0.8053
Process_start,Destroying,33,0.0618,2.5287
Arriving,Bodily_harm,33,0.0618,4.3825
Violence,Death,33,0.0618,7.5862
