story_id,title,tokens,relations,cause_relations,precondition_relations,composition,max_distance,length_bucket,complexity_bucket,distance_bucket,graph_structure
46dce73e0ca8251bd1b40e9794434152,Best of Both Worlds Tour,430,17,0,17,precondition_only,16,301-500,11-20,11+,branching+chain+convergence
3aa49be9523ef1470914ac14813336a3,2015 Washington wildfires,142,4,0,4,precondition_only,5,<=150,3-5,3-5,simple
6265c3b3acad94d31c29532806082afb,Kristallnacht,292,29,26,3,mixed,12,151-300,21-30,11+,branching+convergence
0e78084e3612727cb3e95aa6ce3692d1,Tsunami Relief Cardiff,305,22,0,22,precondition_only,10,301-500,21-30,6-10,branching+chain+convergence
06f2b041d18e29dba6eb1e07c8eaa374,2014 Tehran dust storm,115,6,4,2,mixed,1,<=150,6-10,0-2,branching
6da1391ba611d0d16655f490bfa2d41e,Algiers putsch of 1961,322,5,0,5,precondition_only,5,301-500,3-5,3-5,branching+chain+convergence
36ceecd3a500314883e4ba2e3ee8aa82,Meteorological history of Hurricane Gustav,284,26,0,26,precondition_only,11,151-300,21-30,11+,branching
e664c528fbd3b1604cc055012848fbf5,Chagai-I,119,10,1,9,mixed,6,<=150,6-10,6-10,branching+convergence
0371bbf116422f8e3a0a853bdd1962aa,Murder of Leigh Leigh,335,13,0,13,precondition_only,13,301-500,11-20,11+,branching+convergence
7d1392c97ba1124883efe8e2a3e80d67,No Way Out (2002),162,4,0,4,precondition_only,0,151-300,3-5,0-2,simple
c8a678b7c772be51031c1f5b72d08b8d,Attack on Sydney Harbour,311,30,16,14,mixed,4,301-500,21-30,3-5,branching+chain+convergence
a5c1af931c6fcb09881ee87b4baf4255,1804 Antigua–Charleston hurricane,294,26,18,8,mixed,13,151-300,21-30,11+,branching+convergence
a47c31c471e535181209b87c29e9acb2,SummerSlam (2013),137,7,1,6,mixed,5,<=150,6-10,3-5,convergence
dd25e652f3d0d0f69fd59e0da82b942b,Battle of Kosovo (1448),361,6,0,6,precondition_only,3,301-500,6-10,3-5,simple
044fdce6c8481e960732a62eea111688,Irk Valley Junction rail crash,301,10,4,6,mixed,7,301-500,6-10,6-10,branching+convergence
7c4d2d6f632d503e33859f0904416ddd,Sieges of Kuromaru,188,6,2,4,mixed,3,151-300,6-10,3-5,branching+chain+convergence
d145606eb467a7b2cda6ff3f617088f4,Baltic Way,313,10,3,7,mixed,10,301-500,6-10,6-10,branching+chain+convergence
5ab1af33b6d010c9c79b9ad0f4f4d4db,Iberia Airlines Flight 401,180,21,5,16,mixed,2,151-300,21-30,0-2,branching+chain+convergence
174416ca72a0369af04b4650380bbc91,Hurricane Doreen (1977),243,15,4,11,mixed,13,151-300,11-20,11+,branching+chain+convergence
e69e6034cad0039b53ca5f32ca8313c8,Moorgate tube crash,403,17,10,7,mixed,13,301-500,11-20,11+,branching+convergence
4fffc22214020c7df4d214e0d3d5a220,Eastbourne rail crash,104,5,2,3,mixed,1,<=150,3-5,0-2,branching+convergence
1326eae9b660c0811eeaf5be4452a996,Indian Civil Aviation Airshow,308,4,0,4,precondition_only,5,301-500,3-5,3-5,branching
c0d1c2a220a46efb98c08ba97856409f,Burmese–Siamese War (1785–86),148,11,0,11,precondition_only,4,<=150,11-20,3-5,branching+chain+convergence
